Day,r
1981/4/1,-0.011266
1981/5/1,0.013546
1981/6/1,-0.010243
1981/7/1,-0.003079
1981/8/1,-0.056281
1981/9/1,-0.063776
1981/10/1,0.060162
1981/11/1,0.045848
1981/12/1,-0.028096
1982/1/1,-0.026209
1982/2/1,-0.051126
1982/3/1,-0.010101
1982/4/1,0.043269
1982/5/1,-0.028213
1982/6/1,-0.023913
1982/7/1,-0.020525
1982/8/1,0.119016
1982/9/1,0.016766
1982/10/1,0.118632
1982/11/1,0.051941
1982/12/1,0.01451
1983/1/1,0.041844
1983/2/1,0.030215
1983/3/1,0.034678
1983/4/1,0.074185
1983/5/1,0.013225
1983/6/1,0.037837
1983/7/1,-0.03157
1983/8/1,0.003465
1983/9/1,0.016027
1983/10/1,-0.028038
1983/11/1,0.029556
1983/12/1,-0.010464
1984/1/1,-0.013025
1984/2/1,-0.039073
1984/3/1,0.01339
1984/4/1,0.002538
1984/5/1,-0.05232
1984/6/1,0.023384
1984/7/1,-0.020623
1984/8/1,0.112691
1984/9/1,0.000403
1984/10/1,-7.30E-05
1984/11/1,-0.010685
1984/12/1,0.023653
1985/1/1,0.085719
1985/2/1,0.016898
1985/3/1,-0.001747
1985/4/1,-0.002187
1985/5/1,0.055774
1985/6/1,0.017091
1985/7/1,-0.000251
1985/8/1,-0.004794
1985/9/1,-0.039826
1985/10/1,0.044441
1985/11/1,0.069228
1985/12/1,0.043061
1986/1/1,0.00983
1986/2/1,0.072501
1986/3/1,0.053887
1986/4/1,-0.007903
1986/5/1,0.050847
1986/6/1,0.014244
1986/7/1,-0.0597
1986/8/1,0.066183
1986/9/1,-0.07902
1986/10/1,0.049305
1986/11/1,0.015093
1986/12/1,-0.026387
1987/1/1,0.128499
1987/2/1,0.047922
1987/3/1,0.023664
1987/4/1,-0.016996
1987/5/1,0.005123
1987/6/1,0.043655
1987/7/1,0.044247
1987/8/1,0.037147
1987/9/1,-0.020773
1987/10/1,-0.225361
1987/11/1,-0.072272
1987/12/1,0.070324
1988/1/1,0.044875
1988/2/1,0.051691
1988/3/1,-0.016598
1988/4/1,0.010993
1988/5/1,0.000447
1988/6/1,0.051457
1988/7/1,-0.007272
1988/8/1,-0.028006
1988/9/1,0.037204
1988/10/1,0.017645
1988/11/1,-0.016411
1988/12/1,0.021071
1989/1/1,0.066101
1989/2/1,-0.016442
1989/3/1,0.021465
1989/4/1,0.048207
1989/5/1,0.039336
1989/6/1,-0.004856
1989/7/1,0.077128
1989/8/1,0.022126
1989/9/1,-0.001473
1989/10/1,-0.029285
1989/11/1,0.017816
1989/12/1,0.018294
1990/1/1,-0.070114
1990/2/1,0.0149
1990/3/1,0.024148
1990/4/1,-0.028283
1990/5/1,0.088935
1990/6/1,-0.004193
1990/7/1,-0.009392
1990/8/1,-0.091903
1990/9/1,-0.053844
1990/10/1,-0.012499
1990/11/1,0.065742
1990/12/1,0.029511
1991/1/1,0.049083
1991/2/1,0.075848
1991/3/1,0.028922
1991/4/1,0.003311
1991/5/1,0.040737
1991/6/1,-0.044024
1991/7/1,0.046779
1991/8/1,0.026807
1991/9/1,-0.010979
1991/10/1,0.017847
1991/11/1,-0.037291
1991/12/1,0.106782
1992/1/1,-0.001164
1992/2/1,0.013355
1992/3/1,-0.023699
1992/4/1,0.013414
1992/5/1,0.006407
1992/6/1,-0.019258
1992/7/1,0.0399
1992/8/1,-0.020819
1992/9/1,0.012461
1992/10/1,0.010983
1992/11/1,0.040181
1992/12/1,0.01774
1993/1/1,0.012616
1993/2/1,0.005425
1993/3/1,0.025089
1993/4/1,-0.025391
1993/5/1,0.029572
1993/6/1,0.005434
1993/7/1,-0.000806
1993/8/1,0.039496
1993/9/1,0.000629
1993/10/1,0.018051
1993/11/1,-0.0176
1993/12/1,0.019554
1994/1/1,0.031459
1994/2/1,-0.024207
1994/3/1,-0.045795
1994/4/1,0.009495
1994/5/1,0.009353
1994/6/1,-0.02788
1994/7/1,0.030657
1994/8/1,0.042629
1994/9/1,-0.018338
1994/10/1,0.014521
1994/11/1,-0.037206
1994/12/1,0.01258
1995/1/1,0.020353
1995/2/1,0.039647
1995/3/1,0.027064
1995/4/1,0.025048
1995/5/1,0.033909
1995/6/1,0.031142
1995/7/1,0.040801
1995/8/1,0.0093
1995/9/1,0.036354
1995/10/1,-0.011339
1995/11/1,0.042771
1995/12/1,0.015192
1996/1/1,0.028121
1996/2/1,0.016353
1996/3/1,0.010914
1996/4/1,0.02556
1996/5/1,0.02681
1996/6/1,-0.008289
1996/7/1,-0.053851
1996/8/1,0.032451
1996/9/1,0.052985
1996/10/1,0.013673
1996/11/1,0.065594
1996/12/1,-0.011381
1997/1/1,0.053473
1997/2/1,-0.001067
1997/3/1,-0.044889
1997/4/1,0.042396
1997/5/1,0.07164
1997/6/1,0.044081
1997/7/1,0.076513
1997/8/1,-0.036323
1997/9/1,0.058453
1997/10/1,-0.034433
1997/11/1,0.030354
1997/12/1,0.017822
1998/1/1,0.004511
1998/2/1,0.073321
1998/3/1,0.051273
1998/4/1,0.010924
1998/5/1,-0.025746
1998/6/1,0.031839
1998/7/1,-0.023377
1998/8/1,-0.15786
1998/9/1,0.063814
1998/10/1,0.074406
1998/11/1,0.062001
1998/12/1,0.063058
1999/1/1,0.038447
1999/2/1,-0.038083
1999/3/1,0.037925
1999/4/1,0.049092
1999/5/1,-0.020708
1999/6/1,0.050823
1999/7/1,-0.030833
1999/8/1,-0.009918
1999/9/1,-0.022669
1999/10/1,0.062107
1999/11/1,0.036822
1999/12/1,0.083745
2000/1/1,-0.039622
2000/2/1,0.03176
2000/3/1,0.053499
2000/4/1,-0.059519
2000/5/1,-0.038863
2000/6/1,0.051576
2000/7/1,-0.017679
2000/8/1,0.074984
2000/9/1,-0.051154
2000/10/1,-0.02448
2000/11/1,-0.102365
2000/12/1,0.02045
2001/1/1,0.039573
2001/2/1,-0.099084
2001/3/1,-0.070408
2001/4/1,0.083834
2001/5/1,0.010442
2001/6/1,-0.017561
2001/7/1,-0.018284
2001/8/1,-0.05898
2001/9/1,-0.091497
2001/10/1,0.027847
2001/11/1,0.078789
2001/12/1,0.017854
2002/1/1,-0.015966
2002/2/1,-0.0217
2002/3/1,0.044698
2002/4/1,-0.0496
2002/5/1,-0.01051
2002/6/1,-0.070259
2002/7/1,-0.081125
